"deputy_given_name" "deputy_family_name" "party" "constituency"
"Eugen" "Chebac" "UNPR" "GALATI"
"Florica" "Chereches" "PNL" "BIHOR"
"Dumitru" "Chirita" "PSD" "BUCURESTI"
"Ioan-Cristian" "Chirtes" "PNL" "MURES"
"Laurentiu" "Chirvasuta" "PSD" "GALATI"
"Daniel" "Chitoiu" "ALDE" "GIURGIU"
"Cezar" "Cioata" "PSD" "SUCEAVA"
"Liliana" "Ciobanu" "neafiliat" "GIURGIU"
"Dan" "Ciocan" "PSD" "OLT"
"Tamara-Dorina" "Ciofu" "PSD" "BOTOSANI"
"Lucian-Manuel" "Ciubotaru" "PNL" "BACAU"
"Liviu-Bogdan" "Ciuca" "ALDE" "GALATI"
"Tudor" "Ciuhodaru" "PSD" "VASLUI"
"Florin" "Ciurariu" "PNL" "VASLUI"
"Erland" "Cocei" "PNL" "BUZAU"
"Liviu" "Codîrla" "PSD" "TULCEA"
"Cornel-George" "Comsa" "neafiliat" "ALBA"
"Andrei-Razvan" "Condurateanu" "UNPR" "CONSTANTA"
"Daniel" "Constantin" "ALDE" "ARGES"
"Vlad-Alexandru" "Cosma" "PSD" "PRAHOVA"
"Gheorghe" "Costin" "PNL" "BIHOR"
"Dorel" "Covaci" "PSD" "TIMIS"
"Corneliu-Mugurel" "Cozmanciuc" "PNL" "IASI"
"Grigore" "Craciunescu" "PNL" "IASI"
"Aurelia" "Cristea" "PSD" "CLUJ"
"Victor" "Cristea" "PSD" "VASLUI"
"Horia" "Cristian" "PNL" "TIMIS"
"Attila-Zoltán" "Cseke" "UDMR" "BIHOR"
"Ion" "Cupa" "ALDE" "GORJ"
"Ioan" "Cupsa" "PNL" "BIHOR"
"Petre" "Daea" "PSD" "MEHEDINTI"
"Stefan-Petru" "Dalca" "ALDE" "ARAD"
"Constantin" "Dascalu" "PNL" "DOLJ"
"Mihai" "Deaconu" "PNL" "ARGES"
"Adrian-Nicolae" "Diaconu" "PSD" "TIMIS"
"Mihai-Bogdan" "Diaconu" "neafiliat" "BUCURESTI"
"Ioan" "Dîrzu" "PSD" "ALBA"
"Anton" "Dobos" "PNL" "IASI"
"Mircea-Titus" "Dobre" "PSD" "CONSTANTA"
"Victor Paul" "Dobre" "PNL" "GALATI"
"Traian" "Dobrinescu" "PNL" "VÂLCEA"
"Mircea" "Dolha" "PNL" "MARAMURES"
"Nechita-Stelian" "Dolha" "PNL" "BISTRITA-NASAUD"
"Andrei" "Dolineaschi" "PSD" "BOTOSANI"
"Gheorghe" "Dragomir" "PNL" "CONSTANTA"
"Maria" "Dragomir" "PNL" "CALARASI"
"Mircea-Gheorghe" "Draghici" "PSD" "ARGES"
"Vasile-Catalin" "Dragusanu" "PNL" "NEAMT"
"Paul" "Dumbravanu" "PNL" "PRAHOVA"
"Ileana Cristina" "Dumitrache" "PSD" "CONSTANTA"
"Georgica" "Dumitru" "ALDE" "DÂMBOVITA"
"Ovidiu-Ioan" "Dumitru" "PNL" "BUCURESTI"
"Mircea" "Dusa" "PSD" "HARGHITA"
"Gheorghe" "Emacu" "UNPR" "IASI"
"Ion" "Eparu" "neafiliat" "PRAHOVA"
"Dolóczki István" "Erdei" "UDMR" "SATU-MARE"
"László-Odon" "Fejér" "UDMR" "COVASNA"
"Catalin-Daniel" "Fenechiu" "PNL" "BUCURESTI"
"Gheorghe" "Firczak" "Minoritati" ""
"Damian" "Florea" "ALDE" "BUCURESTI"
"Nutu" "Fonta" "UNPR" "MARAMURES"
"Gheorghe" "Fraticiu" "neafiliat" "SIBIU"
"Constantin" "Galan" "PNL" "SUCEAVA"
"Ovidiu Victor" "Gant" "Minoritati" ""
"Gratiela Leocadia" "Gavrilescu" "ALDE" "PRAHOVA"
"Mihaita" "Gaina" "PSD" "IALOMITA"
"Florian Daniel" "Geanta" "PSD" "BUCURESTI"
"Andrei Dominic" "Gerea" "ALDE" "ARGES"
"Andrei Daniel" "Gheorghe" "PNL" "ILFOV"
"Florin" "Gheorghe" "PSD" "CONSTANTA"
"Tinel" "Gheorghe" "PNL" "IALOMITA"
"Giureci-Slobodan" "Ghera" "Minoritati" ""
"Sebastian-Aurelian" "Ghita" "PSD" "PRAHOVA"
"Dumitru-Verginel" "Gireada" "PNL" "BOTOSANI"
"Vasile Ghiorghe" "Gliga" "PSD" "MURES"
"Alina-Stefania" "Gorghiu" "PNL" "BUCURESTI"
"Horia" "Grama" "PSD" "COVASNA"
"Maria" "Grecea" "PNL" "BRASOV"
"Vasile" "Gudu" "PNL" "TULCEA"
"Dragos-Ionel" "Gunia" "PNL" "PRAHOVA"
"Virgil" "Guran" "PNL" "PRAHOVA"
"Adrian" "Gurzau" "UNPR" "CLUJ"
"Balosin Florentin" "Gust" "neafiliat" "DOLJ"
"Slavomir" "Gvozdenovici" "Minoritati" ""
"Liviu" "Harbuz" "neafiliat" "NEAMT"
"Eleonora-Carmen" "Harau" "PNL" "HUNEDOARA"
"Titi" "Holban" "PSD" "BUZAU"
"Vasile" "Horga" "PNL" "DÂMBOVITA"
"Ioan" "Hulea" "UNPR" "BIHOR"
"Sorin-Avram" "Iacoban" "PSD" "IASI"
"Gheorghe" "Ialomitianu" "PNL" "BRASOV"
"Iulian" "Iancu" "PSD" "BACAU"
"Daniel" "Iane" "PNL" "DOLJ"
"Ovidiu-Cristian" "Iane" "PSD" "SUCEAVA"
"Iusein" "Ibram" "Minoritati" ""
"Miron" "Ignat" "Minoritati" ""
"Natalia-Elena" "Intotero" "PSD" "HUNEDOARA"
"Aurelian" "Ionescu" "ALDE" "IALOMITA"
"George" "Ionescu" "PNL" "PRAHOVA"
"Florin" "Iordache" "PSD" "OLT"
"Vicentiu-Mircea" "Irimie" "ALDE" "CLUJ"
"Scarlat" "Iriza" "ALDE" "GORJ"
"Raluca-Cristina" "Ispir" "PNL" "BUCURESTI"
"Cornel" "Itu" "PSD" "CLUJ"
"Atilla-Béla-László" "Kelemen" "UDMR" "MURES"
"Hunor" "Kelemen" "UDMR" "HARGHITA"
"Károly" "Kerekes" "UDMR" "MURES"
"Camelia" "Khraibani" "neafiliat" "GORJ"
"Attila" "Korodi" "UDMR" "HARGHITA"
"Liviu" "Laza-Matiuta" "PSD" "BIHOR"
"Ghervazen" "Longher" "Minoritati" ""
"Mircea" "Lubanovici" "PNL" "DIASPORA"
"Mihai" "Lupu" "PNL" "CONSTANTA"
"Mircea" "Man" "PNL" "MARAMURES"
"Iulian Claudiu" "Manda" "PSD" "DOLJ"
"Victor-Gheorghe" "Manea" "PNL" "CONSTANTA"
"Marius" "Manolache" "neafiliat" "MEHEDINTI"
"Oana" "Manolescu" "Minoritati" ""
"Vlad" "Marcoci" "PNL" "NEAMT"
"Viorica" "Marcu" "PNL" "BACAU"
"Ion Cristinel" "Marian" "UNPR" "VÂLCEA"
"Gheorghe" "Marin" "PSD" "ARGES"
"Laura" "Marin" "PSD" "GALATI"
"Ion" "Marocico" "Minoritati" ""
"Eduard-Stelian" "Martin" "PSD" "CONSTANTA"
"Árpád-Francisc" "Márton" "UDMR" "COVASNA"
"András-Levente" "Máté" "UDMR" "CLUJ"
"Calin-Vasile-Andrei" "Matei" "PSD" "MARAMURES"
"Constantin" "Mazilu" "UNPR" "VÂLCEA"
"Flavius-Luigi" "Maduta" "PSD" "ARAD"
"Ion" "Melinte" "UNPR" "BACAU"
"Adrian-Miroslav" "Merka" "Minoritati" ""
"Aurelian" "Mihai" "ALDE" "DIASPORA"
"Ioan" "Mihaila" "UNPR" "BUCURESTI"
"Carmen-Ileana" "Mihalcescu" "PSD" "DÂMBOVITA"
"Lucian" "Militaru" "PNL" "TELEORMAN"
"Liliana" "Minca" "ALDE" "BOTOSANI"
"Razvan Horia" "Mironescu" "PNL" "BUCURESTI"
"Manuela" "Mitrea" "PSD" "CONSTANTA"
"Gavril" "Mîrza" "PSD" "SUCEAVA"
"Adrian" "Mocanu" "UNPR" "BUZAU"
"Ion" "Mocioalca" "PSD" "CARAS-SEVERIN"
"Niculina" "Mocioi" "PNL" "GORJ"
"Constantin" "Moisii" "UNPR" "NEAMT"
"Iosif" "Moldovan" "UDMR" "HARGHITA"
"Zsolt" "Molnar" "UDMR" "TIMIS"
"Dan-Stefan" "Motreanu" "PNL" "CALARASI"
"Petru" "Movila" "UNPR" "IASI"
"Ioan" "Munteanu" "PSD" "NEAMT"
"Neagu" "Murgu" "UNPR" "VRANCEA"
"Rodica" "Nassar" "PSD" "BUCURESTI"
"Alexandru" "Nazare" "PNL" "BRAILA"
"Marian" "Neacsu" "PSD" "IALOMITA"
"Clement" "Negrut" "UNPR" "ALBA"
"Cornelia" "Negrut" "ALDE" "MARAMURES"
"Nicolae-Ciprian" "Nica" "PSD" "VRANCEA"
"Cristina" "Nichita" "PSD" "IASI"
"Romeo Florin" "Nicoara" "PNL" "BUCURESTI"
"Alexandri" "Nicolae" "PNL" "PRAHOVA"
"Florian" "Nicolae" "PSD" "GIURGIU"
"Gheorghe-Eugen" "Nicolaescu" "PNL" "BUCURESTI"
"Eugen" "Nicolicea" "PSD" "BUZAU"
"Aurel" "Niculae" "PNL" "CALARASI"
"Dumitru" "Niculescu" "UNPR" "OLT"
"Bogdan Nicolae" "Niculescu Duvaz" "PSD" "ARGES"
"Gheorghe-Vlad" "Nistor" "PNL" "BUCURESTI"
"Marioara" "Nistor" "UNPR" "BRAILA"
"Constantin" "Nita" "PSD" "BRASOV"
"Emil" "Nita" "PSD" "BRASOV"
"Iuliu" "Nosa" "PSD" "SALAJ"
"Daniel Vasile" "Oajdea" "neafiliat" "IASI"
"Ioan" "Oltean" "PNL" "BISTRITA-NASAUD"
"Ludovic" "Orban" "PNL" "BUCURESTI"
"Nechita-Adrian" "Oros" "PNL" "CLUJ"
"Viorel" "Palasca" "ALDE" "MEHEDINTI"
"Ionel" "Palar" "PNL" "BACAU"
"Theodor" "Paleologu" "PNL" "BUCURESTI"
"Varujan" "Pambuccian" "Minoritati" ""
"Adriana-Doina" "Pana" "PSD" "BISTRITA-NASAUD"
"Dumitru" "Pardau" "PNL" "SUCEAVA"
"Maria-Andreea" "Paul" "PNL" "SATU-MARE"
"Nicolae" "Paun" "Minoritati" ""
"Ion" "Pârgaru" "PSD" "DÂMBOVITA"
"Florin-Costin" "Pâslaru" "PSD" "GALATI"
"Ninel" "Peia" "PSD" "ILFOV"
"Dorin Silviu" "Petrea" "PSD" "BRAILA"
"Petre" "Petrescu" "neafiliat" "DOLJ"
"Octavian" "Petric" "PSD" "SATU-MARE"
"Eusebiu-Manea" "Pistru-Popa" "PNL" "ARAD"
"Rovana" "Plumb" "PSD" "DÂMBOVITA"
"Cristina-Ancuta" "Pocora" "PNL" "IALOMITA"
"Gabriela-Maria" "Podasca" "PSD" "BUCURESTI"
"Victor-Viorel" "Ponta" "PSD" "GORJ"
"Georgian" "Pop" "PSD" "BUCURESTI"
"Octavian-Marius" "Popa" "ALDE" "TULCEA"
"Radu Mihai" "Popa" "UNPR" "DÂMBOVITA"
"Vasile" "Popeanga" "PNL" "GORJ"
"Dumitru-Iulian" "Popescu" "UNPR" "BUCURESTI"
"Alin Augustin Florin" "Popoviciu" "PNL" "TIMIS"
"Calin" "Potor" "PSD" "ALBA"
"Cezar-Florin" "Preda" "PNL" "BUZAU"
"Iacob" "Puscas" "neafiliat" "SIBIU"
"Ovidiu Alexandru" "Raetchi" "PNL" "DIASPORA"
"Ion" "Raducanu" "UNPR" "TIMIS"
"Catalin-Marian" "Radulescu" "PSD" "ARGES"
"Romeo" "Radulescu" "neafiliat" "VÂLCEA"
"Elena-Ramona" "Reuer" "PNL" "CLUJ"
"Cristian" "Rizea" "PSD" "BRAILA"
"Cristian-Constantin" "Roman" "PNL" "BOTOSANI"
"Petre" "Roman" "PNL" "BRASOV"
"Lucretia" "Rosca" "PSD" "GALATI"
"Mircea" "Rosca" "PNL" "PRAHOVA"
"Razvan" "Rotaru" "UNPR" "GORJ"
"Valentin" "Rusu" "PNL" "CARAS-SEVERIN"
"Andrei-Valentin" "Sava" "PSD" "PRAHOVA"
"Cornel-Mircea" "Samartinean" "UNPR" "TIMIS"
"Nini" "Sapunaru" "PNL" "VRANCEA"
"Ionut-Cristian" "Savoiu" "PSD" "DÂMBOVITA"
"George" "Scarlat" "PNL" "GALATI"
"Valeria-Diana" "Schelean-Somfelean" "PNL" "CARAS-SEVERIN"
"Florin Mihail" "Secara" "PNL" "VRANCEA"
"Cristian-George" "Sefer" "UNPR" "MURES"
"Dénes" "Seres" "UDMR" "SALAJ"
"Ovidiu Ioan" "Silaghi" "ALDE" "SATU-MARE"
"Dan Coriolan" "Simedru" "PNL" "ALBA"
"Adrian Constantin" "Simionescu" "PSD" "TELEORMAN"
"Miron Alexandru" "Smarandache" "PSD" "BACAU"
"Adrian" "Solomon" "PSD" "VASLUI"
"Ioan" "Stan" "PSD" "SUCEAVA"
"Anghel" "Stanciu" "PSD" "IASI"
"Zisu" "Stanciu" "PSD" "DÂMBOVITA"
"Ionel" "Stancu" "Minoritati" ""
"Irinel Ioan" "Stativa" "PSD" "VASLUI"
"Alexandru" "Stanescu" "PSD" "OLT"
"Valeriu-Andrei" "Steriu" "UNPR" "CALARASI"
"Mihaela" "Stoica" "neafiliat" "NEAMT"
"Sorin Constantin" "Stragea" "PSD" "TIMIS"
"Ionut-Marian" "Stroe" "PNL" "DOLJ"
"Radu" "Stroe" "PSD" "ILFOV"
"Mihai-Razvan" "Sturzu" "neafiliat" "BUCURESTI"
"Vasile-Daniel" "Suciu" "PSD" "BISTRITA-NASAUD"
"Raluca" "Surdu" "PNL" "CALARASI"
"Iulian-Radu" "Surugiu" "PNL" "SUCEAVA"
"Ödön" "Szabó" "UDMR" "BIHOR"
"Ion" "Scheau" "PNL" "ARAD"
"Gheorghe" "Simon" "PSD" "MARAMURES"
"Costel" "Soptica" "PNL" "BOTOSANI"
"Lucian" "Sova" "PSD" "BACAU"
"Viorel" "Stefan" "PSD" "GALATI"
"Elena Catalina" "Stefanescu" "PSD" "TELEORMAN"
"Gigel-Sorinel" "Stirbu" "PNL" "OLT"
"Ion" "Tabugan" "UNPR" "CARAS-SEVERIN"
"Gheorghe-Mirel" "Talos" "ALDE" "SALAJ"
"Mihai" "Tararache" "PNL" "CONSTANTA"
"Ioan" "Tamâian" "PNL" "SIBIU"
"Razvan-Ionut" "Tanase" "neafiliat" "PRAHOVA"
"Claudiu-Andrei" "Tanasescu" "ALDE" "BUCURESTI"
"Florin-Cristian" "Tataru" "PSD" "MARAMURES"
"Sorin" "Teju" "neafiliat" "PRAHOVA"
"Catalin-Florin" "Teodorescu" "PNL" "ARGES"
"Ioan Viorel" "Teodorescu" "PNL" "GIURGIU"
"Hubert Petru Stefan" "Thuma" "PNL" "ILFOV"
"Catalin" "Tiuch" "PSD" "TIMIS"
"Angel" "Tîlvar" "PSD" "VRANCEA"
"Mircea-Nicu" "Toader" "PNL" "GALATI"
"Dan-Laurentiu" "Tocut" "ALDE" "CARAS-SEVERIN"
"Eugen" "Tomac" "UNPR" "DIASPORA"
"Rodin" "Traicu" "PSD" "MEHEDINTI"
"Violeta" "Tudorie" "PSD" "BUCURESTI"
"Mihai" "Tudose" "PSD" "BRAILA"
"Raluca" "Turcan" "PNL" "SIBIU"
"Adriana Diana" "Tusa" "neafiliat" "BUCURESTI"
"Laurentiu" "Tigaeru Rosca" "neafiliat" "VRANCEA"
"Radu Bogdan" "Tîmpau" "PNL" "HUNEDOARA"
"Elena Gabriela" "Udrea" "neafiliat" "NEAMT"
"Gheorghe" "Udriste" "UNPR" "BUCURESTI"
"Ionas-Florin" "Urcan" "PNL" "MURES"
"Eugen Constantin" "Uricec" "PSD" "SUCEAVA"
"Dorinel" "Ursarescu" "ALDE" "NEAMT"
"Aurel" "Vainer" "Minoritati" ""
"Lucia-Ana" "Varga" "PNL" "BIHOR"
"Vasile" "Varga" "PNL" "BRAILA"
"Radu Costin" "Vasilica" "PSD" "ARGES"
"Sergiu-Constantin" "Vizitiu" "UNPR" "VASLUI"
"Iulian" "Vladu" "PNL" "DÂMBOVITA"
"Petru Gabriel" "Vlase" "PSD" "BACAU"
"Madalin-Stefan" "Voicu" "PSD" "CONSTANTA"
"Mihai Alexandru" "Voicu" "PNL" "DOLJ"
"Valerian" "Vreme" "UNPR" "BACAU"
"Ioan" "Vulpescu" "PSD" "BUCURESTI"
"Mihai" "Weber" "PSD" "GORJ"
"Neviser" "Zaharcu" "neafiliat" "TULCEA"
"Daniel-Catalin" "Zamfir" "PNL" "BRASOV"
"Valeriu Stefan" "Zgonea" "neafiliat" "DOLJ"
"Dragos Gabriel" "Zisopol" "Minoritati" ""
"Radu" "Zlati" "PNL" "CLUJ"
"Dan Radu" "Rusanu" "PNL" "HUNEDOARA"
"George" "Becali" "PNL" "BUCURESTI"
"Aurel" "Nechita" "PSD" "GALATI"
"Eduard Raul" "Hellvig" "PNL" "ILFOV"
"Stefan-Bucur" "Stoica" "PDL" "DOLJ"
"Nicolae" "Vasilescu" "PSD" "DOLJ"
"Relu" "Fenechiu" "PNL" "IASI"
"Mircea" "Grosaru" "Minoritati" ""
"Gheorghe" "Netoiu" "PSD (membru UNPR)" "DOLJ"
"Vasile" "Bleotu" "PSD" "VÂLCEA"
"Maria" "Grapini" "ALDE" "TIMIS"
"Gheorghe" "Coman" "ALDE" "BUZAU"
"Dinu" "Giurescu" "ALDE" "BUCURESTI"
"Adrian-Alin" "Petrache" "PSD" "BUCURESTI"
"Dan" "Nica" "PSD" "GALATI"
"Viorel" "Hrebenciuc" "PSD" "BACAU"
"Adrian George" "Scutaru" "PNL" "BUZAU"
"Ioan" "Adam" "PSD" "BRASOV"
"Miron Tudor" "Mitrea" "PSD" "VRANCEA"
"Nicu" "Marcu" "ALDE" "BACAU"
"Monica Maria" "Iacob Ridzi" "PSD (membru UNPR)" "HUNEDOARA"
"Oana" "Niculescu-Mizil Stefanescu" "PSD" "BUCURESTI"
"Danut" "Culetu" "PNL" "CONSTANTA"
"Ion" "Dinita" "ALDE" "BRASOV"
"Attila-Gabor" "Markó" "UDMR" "COVASNA"
"Vasile" "Mocanu" "PSD" "IASI"
"Mihai" "Stanisoara" "ALDE" "MEHEDINTI"
"Theodor-Catalin" "Nicolescu" "PNL" "ARGES"
"Octavian" "Bot" "ALDE" "BUCURESTI"
"Aurel" "Vladoiu" "PSD" "VÂLCEA"
"Gheorghe" "Ciobanu" "PSD" "TIMIS"
"Ion" "Ochi" "PSD" "BRASOV"
"Marian" "Ghiveciu" "PSD" "BUZAU"
"Ion" "Stan" "PSD" "DÂMBOVITA"
"Florin Aurelian" "Popescu" "neafiliat" "DÂMBOVITA"
"Constantin" "Adascalitei" "PSD" "IASI"
"Neculai" "Ratoi" "PSD" "IASI"
"Cosmin" "Necula" "PSD" "BACAU"
"Viorel Marian" "Dragomir" "PSD" "BRAILA"
"Constantin-Stelian-Emil" "Mot" "PSD" "OLT"
"Daniel" "Florea" "PSD" "CALARASI"
"Mircia" "Muntean" "PSD" "HUNEDOARA"
"Sorin Mihai" "Grindeanu" "PSD" "TIMIS"
"Claudia" "Boghicevici" "PNL" "ARAD"
"Ioana-Jenica" "Dumitru" "PSD" "ARGES"
"Petru-Sorin" "Marica" "PSD" "HUNEDOARA"
"Laurentiu" "Nistor" "PSD" "HUNEDOARA"
"Cornel-Cristian" "Resmerita" "PSD" "HUNEDOARA"
"Gheorghe" "Roman" "PNL" "SIBIU"
"Daniel" "Tudorache" "PSD" "BUCURESTI"
"Toader" "Dima" "PSD" "VASLUI"
"Mihai-Aurel" "Dontu" "PNL" "BRASOV"
"Gábor" "Kereskényi" "UDMR" "SATU-MARE"
"Constantin" "Radulescu" "PSD" "VÂLCEA"
"Virgil" "Delureanu" "PSD" "OLT"
"Vasile" "Iliuta" "PNL" "CALARASI"
"Ionel" "Arsene" "PSD" "NEAMT"
"Marian" "Enache" "neafiliat" "NEAMT"
"Sonia-Maria" "Draghici" "PSD" "BIHOR"
"Dan-Cristian" "Popescu" "PNL" "BUCURESTI"
"Niculae" "Mircovici" "Minoritati" ""
"Ioan" "Moldovan" "ALDE" "CLUJ"
"Victor" "Roman" "PSD" "VRANCEA"
"Ion-Bogdan" "Mihailescu" "PSD" "BUCURESTI"
"Viorel-Ionel" "Blajut" "neafiliat" "IASI"
"Ioan Sorin" "Roman" "PSD" "BIHOR"
"Constantin-Cosmin" "Enea" "PSD" "DOLJ"
"Ion-Marcel" "Ciolacu" "PSD" "BUZAU"
"Nicolae-Liviu" "Dragnea" "PSD" "TELEORMAN"
